season,episode,nepisode,EpisodeTitle,Rating,Comment,Date,sentiment,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,0,na,N/A,fresh,"Special praise to Peter Dinklage's sardonic dwarf Tyrion, Michelle Fairley's Stark mother-bear Catelyn, and Sean Bean's super-Beany silent glower as Ned Stark.",31-Oct-17,POSITIVE,1,22,89.52,66.75,1,86.79,22,36.36,31.82,22.73,13.64,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,9.09,0,9.09,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,9.09,4.55,4.55,0,0,0,4.55,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,36.36,4.55,9.09,0,0,13.64,9.09,0
1,0,na,N/A,fresh,"It's the stuff of fantasy geek heaven; a gritty period drama with letter-perfect clothes, weapons and lingo, yet unencumbered by historical facts or the weight of real events.",7-Feb-14,POSITIVE,1,28,93.64,21.49,8.95,75.77,28,21.43,67.86,53.57,42.86,7.14,0,0,0,0,0,0,7.14,10.71,10.71,0,14.29,3.57,3.57,7.14,0,3.57,7.14,3.57,0,0,0,0,10.71,0,10.71,0,0,3.57,7.14,3.57,3.57,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,10.71,3.57,3.57,0,0,0,0,0,0,21.43,3.57,7.14,0,0,3.57,7.14,0
1,0,na,N/A,fresh,"The series was created with such care, it has so many intricate elements that brings this world alive. It's like peeking into a microcosm!",7-Feb-14,POSITIVE,1,24,49.68,40.06,15.38,83,12,20.83,87.5,79.17,58.33,16.67,0,0,0,0,0,0,16.67,25,8.33,0,12.5,12.5,4.17,4.17,0,25,8.33,8.33,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,8.33,8.33,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,16.67,0,4.17,8.33,4.17,0,0,0,8.33,12.5,0,0,0,0,0,0,16.67,4.17,4.17,0,4.17,4.17,0,0
1,0,na,N/A,fresh,What we have here is the successful pairing of an acclaimed collection of fantasy books with a television series that illuminates and expands what's on the page.,7-Feb-14,POSITIVE,1,27,83.52,80.61,2.63,77.5,27,29.63,88.89,66.67,59.26,14.81,3.7,0,3.7,0,0,0,11.11,18.52,14.81,0,14.81,11.11,3.7,3.7,0,11.11,3.7,3.7,11.11,3.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,3.7,0,0,0,0,3.7,0,0,3.7,11.11,7.41,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,3.7,0,0,7.41,7.41,0,0,7.41,0,0,0,0,0,7.41,0,0,0,0,0,0,7.41,3.7,0,0,0,3.7,0,0
1,0,na,N/A,fresh,"The main accomplishment of Game of Thrones is that, while it should keep the hard-core fans satisfied, even viewers who don't care whether Theon is a Greyjoy or a Tully can play along and have a good time.",7-Feb-14,POSITIVE,1,38,44.4,7.5,1,99,38,18.42,86.84,65.79,57.89,7.89,2.63,0,0,0,0,0,5.26,15.79,13.16,0,7.89,15.79,2.63,10.53,2.63,21.05,2.63,0,5.26,0,2.63,2.63,15.79,0,13.16,0,0,5.26,2.63,0,7.89,0,13.16,13.16,0,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,10.53,2.63,0,0,0,2.63,0,0,2.63,0,7.89,0,0,0,0,0,0,13.16,2.63,5.26,0,0,2.63,2.63,0
1,0,na,N/A,fresh,"If Game of Thrones can find its place in the personal (in the power, corruption, and integrity to be found in individual souls), then it can transcend the ugly social and historical dynamics that it so casually relies on and reproduces.",17-Apr-11,POSITIVE,1,41,62.96,54.61,42.46,1,41,24.39,87.8,73.17,53.66,9.76,0,0,0,0,0,0,9.76,12.2,7.32,0,14.63,7.32,2.44,14.63,0,12.2,12.2,2.44,4.88,0,0,4.88,12.2,0,12.2,4.88,0,4.88,2.44,0,2.44,0,4.88,0,4.88,0,0,0,0,0,0,0,12.2,2.44,0,0,0,2.44,0,4.88,0,0,0,0,2.44,2.44,0,0,7.32,4.88,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,12.2,0,0,9.76,0,0,0,4.88,4.88,4.88,0,0,0,0,0,0,14.63,2.44,7.32,0,0,0,4.88,0
1,0,na,N/A,fresh,"There are several things to recommend HBO's rendition of the story, most notably the cast and many of the visuals.",17-Apr-11,POSITIVE,1,20,97.77,40.06,1,90.5,20,25,75,65,65,5,0,0,0,0,0,0,5,30,15,0,15,5,5,5,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,15,5,5,0,0,5,0,0
1,0,na,N/A,rotten,"Even for the most open minds, Game of Thrones can be a big stein of groggy slog.",17-Apr-11,NEGATIVE,1,17,98.34,40.06,1,99,17,5.88,82.35,64.71,52.94,0,0,0,0,0,0,0,0,17.65,11.76,0,17.65,11.76,5.88,0,0,11.76,23.53,11.76,5.88,0,0,5.88,5.88,0,5.88,0,0,5.88,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,11.76,11.76,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,11.76,5.88,5.88,0,0,0,0,0
1,0,na,N/A,fresh,Game of Thrones is a show worth watching based on a book worth reading.,17-Apr-11,POSITIVE,1,14,99,40.06,1,20.23,14,21.43,100,57.14,35.71,0,0,0,0,0,0,0,0,14.29,14.29,0,14.29,7.14,0,0,0,21.43,0,0,7.14,0,0,7.14,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,0,7.14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,14.29,0,0,0,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
1,0,na,N/A,fresh,"The art direction, acting and incredible sets are as breathtaking as the massive scope of the series.",17-Apr-11,POSITIVE,1,17,98.34,40.06,1.39,99,17,23.53,82.35,70.59,47.06,0,0,0,0,0,0,0,0,17.65,17.65,0,17.65,5.88,0,17.65,0,5.88,17.65,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0,11.76,5.88,5.88,0,0,0,0,0
1,0,na,N/A,fresh,HBO's high-fantasy extravaganza combines the drama of battling families with the extreme environments of The Lord of the Rings.,17-Apr-11,POSITIVE,1,19,99,70.59,1,1,19,36.84,68.42,47.37,42.11,0,0,0,0,0,0,0,0,21.05,21.05,0,21.05,0,0,0,0,0,5.26,0,15.79,5.26,0,10.53,0,0,0,0,0,0,0,0,0,0,10.53,0,10.53,0,0,0,0,0,0,0,10.53,5.26,0,0,5.26,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,5.26,5.26,0
1,0,na,N/A,fresh,"In terms of visual ambition and atmosphere, this series challenges the movie world on summer-tentpole turf, while simultaneously capitalizing on an episodic approach that allows the interlocking stories to unfold in a manner no feature ever could.",17-Apr-11,POSITIVE,1,37,96.92,25.5,55.76,62.77,37,29.73,78.38,51.35,45.95,5.41,0,0,0,0,0,0,5.41,18.92,10.81,0,16.22,2.7,2.7,5.41,2.7,2.7,2.7,2.7,8.11,0,5.41,2.7,10.81,5.41,5.41,0,2.7,2.7,0,0,0,0,2.7,2.7,0,0,0,0,0,0,0,0,5.41,5.41,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,2.7,13.51,0,2.7,8.11,2.7,0,0,10.81,0,0,0,0,0,0,0,0,10.81,2.7,5.41,0,0,0,2.7,0
1,0,na,N/A,fresh,"Game of Thrones deposits me in a world I never expected to visit and doesn't leave me feeling stranded and adrift, but eager to immerse myself in the local culture.",17-Apr-11,POSITIVE,1,30,59.67,1,99,72.45,30,23.33,90,63.33,53.33,13.33,13.33,13.33,0,0,0,0,0,6.67,6.67,0,16.67,3.33,3.33,10,6.67,6.67,6.67,0,3.33,0,0,3.33,10,3.33,6.67,3.33,0,0,0,0,3.33,0,3.33,3.33,0,0,0,0,0,0,0,0,6.67,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,20,0,3.33,13.33,0,0,3.33,3.33,0,3.33,3.33,0,0,0,0,0,10,3.33,3.33,0,0,3.33,0,0
1,0,na,N/A,fresh,"This epic, unflinching fantasy noir takes our preconceptions of chivalry, nobility and magic and gets medieval on them.",17-Apr-11,POSITIVE,1,18,49.68,99,1,99,18,33.33,77.78,61.11,38.89,16.67,11.11,0,5.56,0,0,5.56,5.56,11.11,0,0,11.11,0,0,11.11,0,11.11,11.11,0,11.11,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,22.22,5.56,0,5.56,0,0,0,16.67,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,16.67,5.56,11.11,0,0,0,0,0
1,0,na,N/A,fresh,"This is HBO's best dramatic series since The Wire and The Sopranos, hands down.",17-Apr-11,POSITIVE,1,14,89.52,40.06,24.32,20.23,14,14.29,78.57,71.43,50,7.14,0,0,0,0,0,0,7.14,21.43,14.29,0,14.29,7.14,0,14.29,0,7.14,14.29,7.14,7.14,0,7.14,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,7.14,0,0,0,7.14,0,7.14,0,0,0,0,0,0,21.43,7.14,7.14,0,0,7.14,0,0
1,0,na,N/A,fresh,"It's stunningly rendered and very well-acted, and though the first few episodes have a tendency toward telling rather than showing, the pace rarely feels slack.",17-Apr-11,POSITIVE,1,25,28.63,7.28,63.35,20.23,25,28,72,68,60,4,0,0,0,0,0,0,4,20,12,4,8,8,16,16,0,16,8,8,0,0,0,0,16,0,16,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4,4,0,4,4,0,8,0,0,0,0,0,0,20,4,8,0,0,4,4,0
1,0,na,N/A,fresh,"Free your eyes to take in the spectacle, and your brain will magically start following the intricate storytelling. And there's a magical realism to Game of Thrones.",17-Apr-11,POSITIVE,1,27,89.52,97.57,10.18,99,13.5,29.63,85.19,66.67,48.15,7.41,7.41,0,0,7.41,0,0,0,18.52,11.11,0,14.81,7.41,3.7,7.41,0,18.52,7.41,0,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,7.41,7.41,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,11.11,14.81,0,0,7.41,7.41,0,0,3.7,0,3.7,3.7,0,0,0,0,0,14.81,7.41,3.7,0,0,3.7,0,0
1,0,na,N/A,fresh,"I mostly loved Game of Thrones, but occasionally grew a little weary of it as well. (And just to answer the obvious question, this is not a small-screen Lord of the Rings.)",17-Apr-11,POSITIVE,1,32,78.28,1.71,75.23,69.4,16,15.63,93.75,71.88,59.38,9.38,3.13,3.13,0,0,0,0,6.25,15.63,12.5,0,15.63,3.13,9.38,9.38,3.13,6.25,9.38,3.13,6.25,0,0,6.25,21.88,0,21.88,6.25,0,0,9.38,3.13,6.25,0,9.38,6.25,3.13,6.25,3.13,3.13,0,0,0,0,9.38,9.38,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,3.13,0,0,3.13,0,0,0,3.13,6.25,3.13,0,0,0,0,0,0,21.88,6.25,6.25,0,0,0,9.38,0
1,0,na,N/A,fresh,"Worth the wait? Absolutely. And even if you have no idea what all the fuss is about, you should get in from the start to absorb Martin's fantastical tale.",17-Apr-11,POSITIVE,1,29,47.93,78.45,7.91,20.23,9.67,10.34,86.21,79.31,65.52,10.34,6.9,0,0,6.9,0,0,3.45,17.24,10.34,0,13.79,10.34,10.34,6.9,3.45,20.69,3.45,3.45,0,0,0,0,20.69,3.45,17.24,0,0,3.45,10.34,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,3.45,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,10.34,3.45,0,0,3.45,0,0,0,6.9,0,3.45,0,3.45,0,3.45,0,0,17.24,6.9,3.45,3.45,0,3.45,0,0
1,0,na,N/A,fresh,"Fans of the acclaimed Game of Thrones books, or even fans of fantasy realms in general, will find much to admire and enjoy here.",17-Apr-11,POSITIVE,1,24,94.18,18.97,39.59,83,24,16.67,87.5,62.5,50,0,0,0,0,0,0,0,0,8.33,4.17,0,20.83,4.17,8.33,8.33,0,12.5,8.33,4.17,8.33,0,0,8.33,8.33,0,8.33,4.17,0,0,4.17,0,4.17,0,4.17,4.17,0,4.17,4.17,0,0,0,0,0,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,8.33,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,8.33,0,0,0,0,0,0,4.17,0,0,0,0,0,12.5,4.17,8.33,0,0,0,0,0
1,0,na,N/A,fresh,"A great and thundering series of political and psychological intrigue bristling with vivid characters, cross-hatched with tantalizing plotlines and seasoned with a splash of fantasy.",17-Apr-11,POSITIVE,1,25,99,40.06,1,81.12,25,44,72,60,40,0,0,0,0,0,0,0,0,8,8,0,20,0,0,12,0,0,16,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,12,4,4,0,0,0,4,0
1,0,na,N/A,fresh,"HBO has found its answer to Lord of the Rings in adapting George R.R. Martin's enthralling, sprawling, ruthlessly brutal and magnificently entertaining series of page-turners.",17-Apr-11,POSITIVE,1,26,96.67,40.06,30.98,79.29,13,30.77,80.77,57.69,30.77,3.85,0,0,0,0,0,0,3.85,7.69,3.85,0,15.38,3.85,0,3.85,0,7.69,11.54,3.85,7.69,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,0,0,19.23,11.54,7.69,3.85,3.85,0,0,0,0,0,11.54,11.54,0,0,3.85,3.85,3.85,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,11.54,3.85,0,7.69,0,0,0,0,3.85,3.85,0,7.69,7.69,0,0,0,26.92,11.54,7.69,0,0,3.85,3.85,0
